code	plaintext	status
264^CircleWithHorizontalBar	word	R1038 transcription
264^^	de	R1038 transcription
264^_	<IL>	R1038 transcription
264^o	ten allen tÿde	R1038 transcription
265	enver	R1038 transcription
"265^"""	aan Zÿn ?	R1038 transcription
265^CircleWithHorizontalBar	worden	R1038 transcription
265^^	eeren	R1038 transcription
265^_	<IL>	R1038 transcription
265^o	ten minste	R1038 transcription
266	<IL>	R1038 transcription
"266^"""	aan Zÿn Excell F	R1038 transcription
266^CircleWithHorizontalBar	wÿ	R1038 transcription
266^^	i	R1038 transcription
266^_	<IL>	R1038 transcription
266^o	tenteeren	R1038 transcription
267	<EMPTY>	R1038 transcription
"267^"""	aan ? ? d' F	R1038 transcription
267^CircleWithHorizontalBar	wÿlen	R1038 transcription
267^^	n	R1038 transcription
267^_	<IL>	R1038 transcription
267^o	termineeren F	R1038 transcription
268	<IL>	R1038 transcription
"268^"""	aan ? Maj ? F	R1038 transcription
268^CircleWithHorizontalBar	ÿder cen	R1038 transcription
268^^	l	R1038 transcription
268^_	<IL>	R1038 transcription
268^o	ti	R1038 transcription
269	er	R1038 transcription
"269^"""	ab	R1038 transcription
269^CircleWithHorizontalBar	za	R1038 transcription
269^^	zou	R1038 transcription
269^_	<IL>	R1038 transcription
269^o	tÿd	R1038 transcription
270	erf	R1038 transcription
"270^"""	able	R1038 transcription
270^CircleWithHorizontalBar	zacht	R1038 transcription
270^^	<IL>	R1038 transcription
270^_	<IL>	R1038 transcription
270^o	tÿld? F	R1038 transcription
271	ernst	R1038 transcription
"271^"""	<IL>	R1038 transcription
271^CircleWithHorizontalBar	zaturdag F	R1038 transcription
271^^	ongelÿk	R1038 transcription
271^_	<IL>	R1038 transcription
271^o	tit	R1038 transcription
272	es	R1038 transcription
"272^"""	<IL>	R1038 transcription
272^CircleWithHorizontalBar	oost zee	R1038 transcription
272^^	onophondelÿk	R1038 transcription
272^_	b	R1038 transcription
272^o	toin	R1038 transcription
273	essentient?	R1038 transcription
"273^"""	<IL>	R1038 transcription
273^CircleWithHorizontalBar	zeker?	R1038 transcription
273^^	ons	R1038 transcription
273^_	e	R1038 transcription
273^o	ton	R1038 transcription
274	estasette?	R1038 transcription
"274^"""	advert	R1038 transcription
274^CircleWithHorizontalBar	zekerste	R1038 transcription
274^^	ont	R1038 transcription
274^_	ge	R1038 transcription
274^o	tot	R1038 transcription
275	et	R1038 transcription
"275^"""	abreuk?	R1038 transcription
275^CircleWithHorizontalBar	men zegd	R1038 transcription
275^^	ontbieden	R1038 transcription
275^_	m	R1038 transcription
275^o	tot nog toe	R1038 transcription
276	etant	R1038 transcription
"276^"""	af Zÿn	R1038 transcription
276^CircleWithHorizontalBar	zeggen	R1038 transcription
276^^	ontdekken	R1038 transcription
276^_	pe	R1038 transcription
276^o	touis	R1038 transcription
277	ete	R1038 transcription
"277^"""	agt ?	R1038 transcription
277^CircleWithHorizontalBar	zeldsaam	R1038 transcription
277^^	ontfang	R1038 transcription
277^_	vre	R1038 transcription
277^o	Tractaat ven	R1038 transcription
278	<IL>	R1038 transcription
"278^"""	<IL>	R1038 transcription
278^CircleWithHorizontalBar	zelfde	R1038 transcription
278^^	ontfangst	R1038 transcription
278^_	be	R1038 transcription
278^o	<IL>	R1038 transcription
279	<IL>	R1038 transcription
279^CircleWithHorizontalBar	zelfste	R1038 transcription
279^^	<IL>	R1038 transcription
279^_	e	R1038 transcription
279^o	train	R1038 transcription
280	<IL>	R1038 transcription
"280^"""	alhier?	R1038 transcription
280^CircleWithHorizontalBar	zende	R1038 transcription
280^^	<IL>	R1038 transcription
280^_	h	R1038 transcription
280^o	Traite de ?	R1038 transcription
281	eu	R1038 transcription
"281^"""	alle	R1038 transcription
281^CircleWithHorizontalBar	zes, six	R1038 transcription
281^^	<IL>	R1038 transcription
281^_	maar	R1038 transcription
281^o	Traite de Versailles D	R1038 transcription
282	eus	R1038 transcription
"282^"""	<IL>	R1038 transcription
282^CircleWithHorizontalBar	zeventig, septante	R1038 transcription
282^^	ontwerpen	R1038 transcription
282^_	qu	R1038 transcription
282^o	transport	R1038 transcription
283	ex	R1038 transcription
"283^"""	<IL>	R1038 transcription
283^CircleWithHorizontalBar	zig	R1038 transcription
283^^	ontzien	R1038 transcription
283^_	u	R1038 transcription
283^o	tres	R1038 transcription
284	<IL>	R1038 transcription
"284^"""	<IL>	R1038 transcription
284^CircleWithHorizontalBar	zigtighend	R1038 transcription
284^^	onze	R1038 transcription
284^_	<IL>	R1038 transcription
284^o	tribunaal?	R1038 transcription
285	U. Excellentie F	R1038 transcription
"285^"""	als	R1038 transcription
285^CircleWithHorizontalBar	zo	R1038 transcription
285^^	on zen	R1038 transcription
285^_	<IL>	R1038 transcription
285^o	troupes	R1038 transcription
286	<IL>	R1038 transcription
"286^"""	als de	R1038 transcription
286^CircleWithHorizontalBar	zo doonde?	R1038 transcription
286^^	on zes	R1038 transcription
286^_	join	R1038 transcription
286^o	<IL>	R1038 transcription
287	<IL>	R1038 transcription
"287^"""	als het	R1038 transcription
287^CircleWithHorizontalBar	zo te zeggen	R1038 transcription
287^^	ook	R1038 transcription
287^_	<IL>	R1038 transcription
287^o	turc?	R1038 transcription
288	<IL>	R1038 transcription
"288^"""	als zÿnde	R1038 transcription
288^CircleWithHorizontalBar	zomer	R1038 transcription
288^^	oorlog	R1038 transcription
288^_	is	R1038 transcription
288^o	<IL>	R1038 transcription
289	<IL>	R1038 transcription
"289^"""	<IL>	R1038 transcription
289^CircleWithHorizontalBar	zonderdat	R1038 transcription
289^^	<IL>	R1038 transcription
289^_	ise	R1038 transcription
289^o	V	R1038 transcription
290	explicatio?	R1038 transcription
"290^"""	Ambassades	R1038 transcription
290^CircleWithHorizontalBar	zonderling	R1038 transcription
290^^	op	R1038 transcription
290^_	ition	R1038 transcription
290^o	vaisseau	R1038 transcription
291	<IL>	R1038 transcription
"291^"""	<IL>	R1038 transcription
291^CircleWithHorizontalBar	zorges	R1038 transcription
291^^	opeen	R1038 transcription
291^_	<IL>	R1038 transcription
291^o	val	R1038 transcription
292	<IL>	R1038 transcription
"292^"""	<IL>	R1038 transcription
292^CircleWithHorizontalBar	zorgen	R1038 transcription
292^^	opiniatre	R1038 transcription
292^_	kan	R1038 transcription
292^o	van	R1038 transcription
293	<IL>	R1038 transcription
"293^"""	andere	R1038 transcription
293^CircleWithHorizontalBar	zoude?	R1038 transcription
293^^	<IL>	R1038 transcription
293^_	ke	R1038 transcription
293^o	van ?	R1038 transcription
294	fa	R1038 transcription
"294^"""	annce	R1038 transcription
294^CircleWithHorizontalBar	zulke	R1038 transcription
294^^	<IL>	R1038 transcription
294^_	<IL>	R1038 transcription
294^o	van het Hof	R1038 transcription
295	<IL>	R1038 transcription
"295^"""	antwoort	R1038 transcription
295^CircleWithHorizontalBar	<IL>	R1038 transcription
295^^	<IL>	R1038 transcription
295^_	kind	R1038 transcription
295^o	van zÿn	R1038 transcription
296	fait	R1038 transcription
"296^"""	<EMPTY>	R1038 transcription
296^CircleWithHorizontalBar	zÿn	R1038 transcription
296^^	ordinair	R1038 transcription
296^_	<IL>	R1038 transcription
296^o	<IL>	R1038 transcription
297	<IL>	R1038 transcription
"297^"""	apprens?	R1038 transcription
297^CircleWithHorizontalBar	zÿndes?	R1038 transcription
297^^	ordre	R1038 transcription
297^_	kom	R1038 transcription
297^o	ve	R1038 transcription
298	fau?	R1038 transcription
"298^"""	apris	R1038 transcription
298^CircleWithHorizontalBar	zÿn Ed	R1038 transcription
298^^	os	R1038 transcription
298^_	komende	R1038 transcription
298^o	veelmaals	R1038 transcription
299	<IL>	R1038 transcription
"299^"""	arm?	R1038 transcription
299^CircleWithHorizontalBar	zÿn hoog Ed	R1038 transcription
299^^	ou	R1038 transcription
299^_	konde	R1038 transcription
299^o	<IL>	R1038 transcription
300	<IL>	R1038 transcription
"300^"""	<IL>	R1038 transcription
300^CircleWithHorizontalBar	zÿn Excell F	R1038 transcription
300^^	over	R1038 transcription
300^_	konnende	R1038 transcription
300^o	<IL>	R1038 transcription
301	<IL>	R1038 transcription
"301^"""	assembl	R1038 transcription
301^CircleWithHorizontalBar	<IL>	R1038 transcription
301^^	over de	R1038 transcription
301^_	de Koning von F	R1038 transcription
301^o	vent	R1038 transcription
302	a	R1038 transcription
"302^"""	<IL>	R1038 transcription
302^CircleWithHorizontalBar	zÿn Majesties? F	R1038 transcription
302^^	? overige	R1038 transcription
302^_	de Koningin von F	R1038 transcription
302^o	ver	R1038 transcription
303	die	R1038 transcription
"303^"""	atien?	R1038 transcription
303^CircleWithHorizontalBar	c	R1038 transcription
303^^	overleggen	R1038 transcription
303^_	koop	R1038 transcription
303^o	verandering	R1038 transcription
304	et	R1038 transcription
"304^"""	au	R1038 transcription
304^CircleWithHorizontalBar	e	R1038 transcription
304^^	<IL>	R1038 transcription
304^_	krÿgen?	R1038 transcription
304^o	<IL>	R1038 transcription
305	l	R1038 transcription
"305^"""	aver?	R1038 transcription
305^CircleWithHorizontalBar	heb	R1038 transcription
305^^	P	R1038 transcription
305^_	kunnen?	R1038 transcription
305^o	<IL>	R1038 transcription
306	oo	R1038 transcription
"306^"""	aviens	R1038 transcription
306^CircleWithHorizontalBar	m	R1038 transcription
306^^	pac	R1038 transcription
306^_	L	R1038 transcription
306^o	<IL>	R1038 transcription
307	v	R1038 transcription
"307^"""	<IL>	R1038 transcription
307^CircleWithHorizontalBar	op	R1038 transcription
307^^	<IL>	R1038 transcription
307^_	laak	R1038 transcription
307^o	<IL>	R1038 transcription
308	aa	R1038 transcription
"308^"""	<IL>	R1038 transcription
308^CircleWithHorizontalBar	van	R1038 transcription
308^^	<EMPTY>	R1038 transcription
308^_	laast Leeder?	R1038 transcription
308^o	<IL>	R1038 transcription
309	dit	R1038 transcription
"309^"""	<EMPTY>	R1038 transcription
309^CircleWithHorizontalBar	c	R1038 transcription
309^^	Traite des Paix?	R1038 transcription
309^_	laaten	R1038 transcription
309^o	<EMPTY>	R1038 transcription
310	ez	R1038 transcription
"310^"""	bas	R1038 transcription
310^CircleWithHorizontalBar	e	R1038 transcription
310^^	<IL>	R1038 transcription
310^_	<EMPTY>	R1038 transcription
310^o	<IL>	R1038 transcription
311	l	R1038 transcription
"311^"""	be	R1038 transcription
311^CircleWithHorizontalBar	heef	R1038 transcription
311^^	<IL>	R1038 transcription
311^_	land	contextual inference
311^o	<IL>	R1038 transcription
312	oak/ook?	R1038 transcription
"312^"""	bed	R1038 transcription
312^CircleWithHorizontalBar	m	R1038 transcription
312^^	part?	R1038 transcription
312^_	<IL>	R1038 transcription
312^o	<IL>	R1038 transcription
313	v	R1038 transcription
"313^"""	beg	R1038 transcription
313^CircleWithHorizontalBar	p	R1038 transcription
313^^	participaren	R1038 transcription
313^_	le	R1038 transcription
313^o	<IL>	R1038 transcription
314	eenig	R1038 transcription
"314^"""	<IL>	R1038 transcription
314^CircleWithHorizontalBar	ve	R1038 transcription
314^^	partÿdig	R1038 transcription
314^_	leeben	R1038 transcription
314^o	<IL>	R1038 transcription
315	eenpaarig	R1038 transcription
"315^"""	beid	R1038 transcription
315^CircleWithHorizontalBar	<IL>	R1038 transcription
315^^	<IL>	R1038 transcription
315^_	leger	R1038 transcription
315^o	a	R1038 transcription
316	<IL>	R1038 transcription
"316^"""	become?	R1038 transcription
316^CircleWithHorizontalBar	de keizerin	R1038 transcription
316^^	patroon	R1038 transcription
316^_	len	R1038 transcription
316^o	dit	R1038 transcription
317	<IL>	R1038 transcription
"317^"""	bess?	R1038 transcription
317^CircleWithHorizontalBar	de Keizerin van Rusland	R1038 transcription
317^^	pen	R1038 transcription
317^_	les	R1038 transcription
317^o	f	R1038 transcription
318	<IL>	R1038 transcription
"318^"""	de	R1038 transcription
318^CircleWithHorizontalBar	zÿn Rus Keiz: Maj:t	R1038 transcription
318^^	penning	R1038 transcription
318^_	lettre	R1038 transcription
318^o	kunnen	R1038 transcription
319	<IL>	R1038 transcription
"319^"""	cerd	R1038 transcription
319^CircleWithHorizontalBar	de Koning van	R1038 transcription
319^^	perfect	R1038 transcription
319^_	<IL>	R1038 transcription
319^o	o	R1038 transcription
320	eerd	R1038 transcription
"320^"""	heid	R1038 transcription
320^CircleWithHorizontalBar	de Konigin van	R1038 transcription
320^^	<IL>	R1038 transcription
320^_	<IL>	R1038 transcription
320^o	te	R1038 transcription
321	eeren	R1038 transcription
"321^"""	men	R1038 transcription
321^CircleWithHorizontalBar	haar Majesteit	R1038 transcription
321^^	<IL>	R1038 transcription
321^_	liqur?	R1038 transcription
321^o	aa	R1038 transcription
322	eeren	R1038 transcription
"322^"""	s	R1038 transcription
322^CircleWithHorizontalBar	de ? Konig	R1038 transcription
322^^	<IL>	R1038 transcription
322^_	lir	R1038 transcription
322^o	e	R1038 transcription
323	<IL>	R1038 transcription
"323^"""	zal	R1038 transcription
323^CircleWithHorizontalBar	de grook Vorst	R1038 transcription
323^^	pi	R1038 transcription
323^_	lo	R1038 transcription
323^o	g	R1038 transcription
324	eerstelÿk	R1038 transcription
"324^"""	den	R1038 transcription
324^CircleWithHorizontalBar	<IL>	R1038 transcription
324^^	<IL>	R1038 transcription
324^_	<IL>	R1038 transcription
324^o	l	R1038 transcription
325	efficat?	R1038 transcription
"325^"""	ceren?	R1038 transcription
325^CircleWithHorizontalBar	<IL>	R1038 transcription
325^^	<IL>	R1038 transcription
325^_	<IL>	R1038 transcription
325^o	of	R1038 transcription
326	eid	R1038 transcription
"326^"""	i	R1038 transcription
326^CircleWithHorizontalBar	<IL>	R1038 transcription
326^^	plaign	R1038 transcription
326^_	lu	R1038 transcription
326^o	tut	R1038 transcription
327	ei	R1038 transcription
"327^"""	n	R1038 transcription
327^CircleWithHorizontalBar	<IL>	R1038 transcription
327^^	Plenipotentiaris	R1038 transcription
327^_	luk?	R1038 transcription
327^o	suiv	R1038 transcription
328	elf	R1038 transcription
"328^"""	sa	R1038 transcription
328^CircleWithHorizontalBar	de Hertog van	R1038 transcription
328^^	plus	R1038 transcription
328^_	? mediens	R1038 transcription
328^o	sur	R1038 transcription
329	elle	R1038 transcription
"329^"""	ÿ	R1038 transcription
329^CircleWithHorizontalBar	de Landgraavin van	R1038 transcription
329^^	plus	R1038 transcription
329^_	<IL>	R1038 transcription
329^o	suspeck	R1038 transcription
330	elus	R1038 transcription
"330^"""	aan	R1038 transcription
330^CircleWithHorizontalBar	de graavin van	R1038 transcription
330^^	<IL>	R1038 transcription
330^_	maaden	R1038 transcription
330^o	taat	R1038 transcription
331	embarasseeren	R1038 transcription
"331^"""	aan de	R1038 transcription
331^CircleWithHorizontalBar	<IL>	R1038 transcription
331^^	port	R1038 transcription
331^_	maar	R1038 transcription
331^o	te	R1038 transcription
332	<IL>	R1038 transcription
"332^"""	aan dit hof	R1038 transcription
332^CircleWithHorizontalBar	het Hof te	R1038 transcription
332^^	possed?	R1038 transcription
332^_	<IL>	R1038 transcription
332^o	te gaan	R1038 transcription
333	en	R1038 transcription
"333^"""	aangeende	R1038 transcription
333^CircleWithHorizontalBar	het Hof van	R1038 transcription
333^^	post	R1038 transcription
333^_	majesteit?	R1038 transcription
333^o	te val	R1038 transcription
334	en	R1038 transcription
"334^"""	aan haar ? F	R1038 transcription
334^CircleWithHorizontalBar	Minister	R1038 transcription
334^^	de	R1038 transcription
334^_	<IL>	R1038 transcription
334^o	te zÿn	R1038 transcription
335	ende	R1038 transcription
"335^"""	<IL>	R1038 transcription
335^CircleWithHorizontalBar	het Ministerie	R1038 transcription
335^^	en	R1038 transcription
335^_	<IL>	R1038 transcription
335^o	tegen de	R1038 transcription
336	enfin	R1038 transcription
"336^"""	aan hem	R1038 transcription
336^CircleWithHorizontalBar	<IL>	R1038 transcription
336^^	i	R1038 transcription
336^_	<IL>	R1038 transcription
336^o	tegen os	R1038 transcription
337	entem	R1038 transcription
"337^"""	aan ? Excell F	R1038 transcription
337^CircleWithHorizontalBar	<IL>	R1038 transcription
337^^	naar	R1038 transcription
337^_	<IL>	R1038 transcription
337^o	teit	R1038 transcription
338	envois	R1038 transcription
"338^"""	aan ? ? Ed ?	R1038 transcription
338^CircleWithHorizontalBar	de Resident van	R1038 transcription
338^^	l	R1038 transcription
338^_	<IL>	R1038 transcription
338^o	tems	R1038 transcription
339	eoi?	R1038 transcription
"339^"""	aan ? Ho: Ed: ?	R1038 transcription
339^CircleWithHorizontalBar	de legations Secretaris van	R1038 transcription
339^^	zullen	R1038 transcription
339^_	<IL>	R1038 transcription
339^o	ten deele	R1038 transcription
340	<EMPTY>	R1038 transcription
"340^"""	aan ? Wel Ed:?	R1038 transcription
340^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
340^^	de	R1038 transcription
340^_	mar	contextual inference
340^o	ten ivaare?	R1038 transcription
341	<IL>	R1038 transcription
"341^"""	aan Zÿn Ed	R1038 transcription
341^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
341^^	en	R1038 transcription
341^_	<IL>	R1038 transcription
341^o	ter	R1038 transcription
342	er	R1038 transcription
"342^"""	aan Zÿn Excell F	R1038 transcription
342^CircleWithHorizontalBar	de Republicq	R1038 transcription
342^^	ik	R1038 transcription
342^_	<IL>	R1038 transcription
342^o	terribel	R1038 transcription
343	erg	R1038 transcription
"343^"""	aan Zÿn ? Majt F	R1038 transcription
343^CircleWithHorizontalBar	de Staat	R1038 transcription
343^^	nn	R1038 transcription
343^_	<IL>	R1038 transcription
343^o	tu	R1038 transcription
344	ert	R1038 transcription
"344^"""	aan Zÿn Majest F	R1038 transcription
344^CircleWithHorizontalBar	haar Ho Mo	R1038 transcription
344^^	le	R1038 transcription
344^_	<IL>	R1038 transcription
344^o	tÿd	R1038 transcription
345	esienti?	R1038 transcription
"345^"""	abandonn	R1038 transcription
345^CircleWithHorizontalBar	haar Ho Mo	R1038 transcription
345^^	zÿn	R1038 transcription
345^_	<IL>	R1038 transcription
345^o	tÿld? F	R1038 transcription
346	est	R1038 transcription
"346^"""	abond	R1038 transcription
346^CircleWithHorizontalBar	haar Ho Mo	R1038 transcription
346^^	<IL>	R1038 transcription
346^_	<IL>	R1038 transcription
346^o	to	R1038 transcription
347	et	R1038 transcription
"347^"""	accessie?	R1038 transcription
347^CircleWithHorizontalBar	de Staalin? van	R1038 transcription
347^^	<IL>	R1038 transcription
347^_	<IL>	R1038 transcription
347^o	<IL>	R1038 transcription
348	et	R1038 transcription
"348^"""	accus	R1038 transcription
348^CircleWithHorizontalBar	<IL>	R1038 transcription
348^^	<IL>	R1038 transcription
348^_	bÿ	R1038 transcription
348^o	toon	R1038 transcription
349	etat	R1038 transcription
"349^"""	actueel	R1038 transcription
349^CircleWithHorizontalBar	<IL>	R1038 transcription
349^^	ons	R1038 transcription
349^_	e	R1038 transcription
349^o	tot dat	R1038 transcription
350	ete	R1038 transcription
"350^"""	adverturen	R1038 transcription
350^CircleWithHorizontalBar	de Heer van Rhien?	R1038 transcription
350^^	ontaard	R1038 transcription
350^_	had	R1038 transcription
350^o	tot nu toe	R1038 transcription
351	etoi?	R1038 transcription
"351^"""	afge	R1038 transcription
351^CircleWithHorizontalBar	<IL>	R1038 transcription
351^^	<IL>	R1038 transcription
351^_	maid	R1038 transcription
351^o	tout	R1038 transcription
352	<IL>	R1038 transcription
"352^"""	afzender	R1038 transcription
352^CircleWithHorizontalBar	<IL>	R1038 transcription
352^^	<IL>	R1038 transcription
352^_	r	R1038 transcription
352^o	Tractaat von Alliante? F	R1038 transcription
353	<IL>	R1038 transcription
"353^"""	agten	R1038 transcription
353^CircleWithHorizontalBar	<IL>	R1038 transcription
353^^	ontfangen	R1038 transcription
353^_	uet/uit?	R1038 transcription
353^o	<IL>	R1038 transcription
354	eu	R1038 transcription
"354^"""	aÿent	R1038 transcription
354^CircleWithHorizontalBar	<IL>	R1038 transcription
354^^	ontfing	R1038 transcription
354^_	c	R1038 transcription
354^o	trait	R1038 transcription
355	euse	R1038 transcription
"355^"""	aldus	R1038 transcription
355^CircleWithHorizontalBar	Secretaris?	R1038 transcription
355^^	<IL>	R1038 transcription
355^_	e	R1038 transcription
355^o	<IL>	R1038 transcription
356	exa	R1038 transcription
"356^"""	alhier?	R1038 transcription
356^CircleWithHorizontalBar	haar Ho: Mo Minister	R1038 transcription
356^^	<IL>	R1038 transcription
356^_	hib	R1038 transcription
356^o	Traite de ? ? d' amitie D	R1038 transcription
357	excell	R1038 transcription
"357^"""	alle	R1038 transcription
357^CircleWithHorizontalBar	<IL>	R1038 transcription
357^^	<IL>	R1038 transcription
357^_	men	R1038 transcription
357^o	Traite de Vienne D	R1038 transcription
358	U. Excellentie F	R1038 transcription
"358^"""	allen	R1038 transcription
358^CircleWithHorizontalBar	<IL>	R1038 transcription
358^^	ontwierp	R1038 transcription
358^_	r	R1038 transcription
358^o	travers	R1038 transcription
359	Zÿn Excell	R1038 transcription
"359^"""	alliantie	R1038 transcription
359^CircleWithHorizontalBar	<IL>	R1038 transcription
359^^	onver	R1038 transcription
359^_	w	R1038 transcription
359^o	tredor	R1038 transcription
360	<IL>	R1038 transcription
"360^"""	hooge ?	R1038 transcription
360^CircleWithHorizontalBar	<IL>	R1038 transcription
360^^	onze	R1038 transcription
360^_	interpret	R1038 transcription
360^o	tro	R1038 transcription
361	exist	R1038 transcription
"361^"""	als	R1038 transcription
361^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
361^^	on zen	R1038 transcription
361^_	<IL>	R1038 transcription
361^o	troupes	R1038 transcription
362	<IL>	R1038 transcription
"362^"""	als dees	R1038 transcription
362^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
362^^	onzÿdig	R1038 transcription
362^_	jong	R1038 transcription
362^o	tu?	R1038 transcription
363	<IL>	R1038 transcription
"363^"""	als men	R1038 transcription
363^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
363^^	ook	R1038 transcription
363^_	<IL>	R1038 transcription
363^o	tusschen	contextual inference
364	extra	R1038 transcription
"364^"""	? altesse	R1038 transcription
364^CircleWithHorizontalBar	<IL>	R1038 transcription
364^^	oorlog	R1038 transcription
364^_	is	R1038 transcription
364^o	<IL>	R1038 transcription
365	Extr ?	R1038 transcription
"365^"""	althand?	R1038 transcription
365^CircleWithHorizontalBar	Haar Majesteit	R1038 transcription
365^^	oorzaak	R1038 transcription
365^_	it	R1038 transcription
365^o	va	R1038 transcription
366	extremitist	R1038 transcription
"366^"""	ambassadeur	R1038 transcription
366^CircleWithHorizontalBar	haar Keiz Majesteit	R1038 transcription
366^^	op	R1038 transcription
366^_	ire	R1038 transcription
366^o	vaisseau	R1038 transcription
367	<IL>	R1038 transcription
"367^"""	America	R1038 transcription
367^CircleWithHorizontalBar	het? Hof	R1038 transcription
367^^	open	R1038 transcription
367^_	<IL>	R1038 transcription
367^o	vallen	R1038 transcription
368	<IL>	R1038 transcription
"368^"""	an	R1038 transcription
368^CircleWithHorizontalBar	ce	R1038 transcription
368^^	opinie	R1038 transcription
368^_	kan	R1038 transcription
368^o	van	R1038 transcription
369	fait	R1038 transcription
"369^"""	anderen	R1038 transcription
369^CircleWithHorizontalBar	e	R1038 transcription
369^^	oprechtigheid	R1038 transcription
369^_	keer?	R1038 transcription
369^o	van dit Hof	R1038 transcription
370	<IL>	R1038 transcription
"370^"""	armee	R1038 transcription
370^CircleWithHorizontalBar	hek	R1038 transcription
370^^	<IL>	R1038 transcription
370^_	oorlogend	contextual inference
370^o	van het Ministerie	R1038 transcription
371	<IL>	R1038 transcription
"371^"""	antwoort	R1038 transcription
371^CircleWithHorizontalBar	men	R1038 transcription
371^^	or	R1038 transcription
371^_	kenne?	R1038 transcription
371^o	van Zÿn Hof	R1038 transcription
372	<IL>	R1038 transcription
"372^"""	<EMPTY>	R1038 transcription
372^CircleWithHorizontalBar	pe	R1038 transcription
372^^	ordinair	R1038 transcription
372^_	klaag	R1038 transcription
372^o	van Zÿn Maister	R1038 transcription
373	<IL>	R1038 transcription
"373^"""	appris	R1038 transcription
373^CircleWithHorizontalBar	ver	R1038 transcription
373^^	ordinair	R1038 transcription
373^_	komen	R1038 transcription
373^o	ve	R1038 transcription
374	fem?	R1038 transcription
"374^"""	ar	R1038 transcription
374^CircleWithHorizontalBar	d	R1038 transcription
374^^	ose	R1038 transcription
374^_	komt	R1038 transcription
374^o	<IL>	R1038 transcription
375	aan	R1038 transcription
"375^"""	armature	R1038 transcription
375^CircleWithHorizontalBar	e	R1038 transcription
375^^	ous	R1038 transcription
375^_	konde	R1038 transcription
375^o	<IL>	R1038 transcription
376	du	R1038 transcription
"376^"""	armement	R1038 transcription
376^CircleWithHorizontalBar	i	R1038 transcription
376^^	over	R1038 transcription
376^_	koning	R1038 transcription
376^o	<IL>	R1038 transcription
377	f	R1038 transcription
"377^"""	<IL>	R1038 transcription
377^CircleWithHorizontalBar	met	R1038 transcription
377^^	<IL>	R1038 transcription
377^_	de Koning von F	R1038 transcription
377^o	ver	R1038 transcription
378	la	R1038 transcription
"378^"""	<IL>	R1038 transcription
378^CircleWithHorizontalBar	qa	R1038 transcription
378^^	overkomen	R1038 transcription
378^_	de Koningin von F	R1038 transcription
378^o	<IL>	R1038 transcription
379	op	R1038 transcription
"379^"""	<IL>	R1038 transcription
379^CircleWithHorizontalBar	w	R1038 transcription
379^^	overmorgen	R1038 transcription
379^_	<IL>	R1038 transcription
379^o	<IL>	R1038 transcription
380	van	R1038 transcription
"380^"""	Augusta	R1038 transcription
380^CircleWithHorizontalBar	de Keizer	R1038 transcription
380^^	<IL>	R1038 transcription
380^_	krÿgen?	R1038 transcription
380^o	<IL>	R1038 transcription
381	b	R1038 transcription
"381^"""	<IL>	R1038 transcription
381^CircleWithHorizontalBar	de keizerin	R1038 transcription
381^^	pa	R1038 transcription
381^_	kunnen?	R1038 transcription
381^o	<IL>	R1038 transcription
382	e	R1038 transcription
"382^"""	<IL>	R1038 transcription
382^CircleWithHorizontalBar	zÿn Keiz Maj.t	R1038 transcription
382^^	pacifi	R1038 transcription
382^_	la	R1038 transcription
382^o	<IL>	R1038 transcription
383	g	R1038 transcription
"383^"""	<IL>	R1038 transcription
383^CircleWithHorizontalBar	haar Rus Keiz Maj.t	R1038 transcription
383^^	ook	R1038 transcription
383^_	laast?	R1038 transcription
383^o	<IL>	R1038 transcription
384	le	R1038 transcription
"384^"""	autans?	R1038 transcription
384^CircleWithHorizontalBar	de Koning van	R1038 transcription
384^^	<EMPTY>	R1038 transcription
384^_	laast Leeder?	R1038 transcription
384^o	<IL>	R1038 transcription
385	p	R1038 transcription
"385^"""	ba	R1038 transcription
385^CircleWithHorizontalBar	de Konigin van	R1038 transcription
385^^	<IL>	R1038 transcription
385^_	laaten	R1038 transcription
385^o	<EMPTY>	R1038 transcription
386	van	R1038 transcription
"386^"""	bar	R1038 transcription
386^CircleWithHorizontalBar	haar Majesteit	R1038 transcription
386^^	<IL>	R1038 transcription
386^_	<EMPTY>	R1038 transcription
386^o	<IL>	R1038 transcription
387	eenige	R1038 transcription
"387^"""	be	R1038 transcription
387^CircleWithHorizontalBar	de ? Konig	R1038 transcription
387^^	<IL>	R1038 transcription
387^_	lane?	R1038 transcription
387^o	<IL>	R1038 transcription
388	eer	R1038 transcription
"388^"""	bedaat?	R1038 transcription
388^CircleWithHorizontalBar	de Infant?	R1038 transcription
388^^	partiqe	R1038 transcription
388^o	<IL>	R1038 transcription
389	eere	R1038 transcription
"389^"""	begaan	R1038 transcription
389^CircleWithHorizontalBar	<IL>	R1038 transcription
389^^	particulariteit	R1038 transcription
389^_	le	R1038 transcription
389^o	<IL>	R1038 transcription
390	<IL>	R1038 transcription
"390^"""	behe?	R1038 transcription
390^CircleWithHorizontalBar	<IL>	R1038 transcription
390^^	pas	R1038 transcription
390^_	<IL>	R1038 transcription
390^o	<IL>	R1038 transcription
391	eerde	R1038 transcription
